Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/03/2020,1,0,0,0
03/05/2020,1,0,0,0
03/06/2020,1,0,0,0
03/07/2020,1,0,0,0
03/08/2020,1,0,0,0
03/09/2020,1,0,0,0
03/10/2020,1,0,0,0
03/11/2020,1,0,0,0
03/12/2020,1,0,0,0
03/13/2020,4,3,0,0
03/14/2020,4,0,0,0
03/15/2020,4,0,0,0
03/16/2020,7,3,0,0
03/17/2020,7,0,0,0
03/18/2020,7,0,0,0
03/19/2020,28,21,0,0
03/20/2020,28,0,0,0
03/21/2020,28,0,0,0
03/22/2020,44,16,0,0
03/23/2020,46,2,0,0
03/24/2020,51,5,0,0
03/25/2020,52,1,0,0
03/26/2020,53,1,0,0
03/27/2020,56,3,0,0
03/28/2020,58,2,0,0
03/29/2020,61,3,0,0
03/30/2020,64,3,0,0
03/31/2020,68,4,0,0
04/01/2020,70,2,0,0
04/02/2020,72,2,0,0
04/03/2020,74,2,0,0
04/04/2020,77,3,1,1
04/05/2020,77,0,1,0
04/06/2020,77,0,1,0
04/07/2020,77,0,1,0
04/08/2020,78,1,1,0
04/09/2020,78,0,1,0
04/10/2020,79,1,1,0
04/11/2020,79,0,1,0
04/13/2020,79,0,1,0
04/14/2020,80,1,1,0
04/15/2020,80,0,1,0
04/16/2020,80,0,1,0
04/18/2020,80,0,1,0
04/19/2020,81,1,1,0
04/20/2020,81,0,1,0
04/21/2020,81,0,1,0
04/22/2020,81,0,1,0
04/23/2020,81,0,1,0
04/24/2020,82,1,1,0
04/25/2020,82,0,1,0
04/26/2020,82,0,1,0
04/27/2020,82,0,1,0
04/28/2020,82,0,1,0
04/29/2020,82,0,1,0
04/30/2020,82,0,1,0
05/01/2020,82,0,1,0
05/02/2020,82,0,1,0
05/03/2020,82,0,1,0
05/04/2020,82,0,1,0
05/05/2020,82,0,1,0
05/06/2020,82,0,1,0
05/07/2020,82,0,1,0
05/08/2020,82,0,1,0
05/09/2020,82,0,1,0
05/10/2020,82,0,1,0
05/11/2020,82,0,1,0
05/12/2020,82,0,1,0
05/13/2020,82,0,1,0
05/14/2020,82,0,1,0
05/15/2020,82,0,1,0
05/16/2020,82,0,1,0
05/17/2020,82,0,1,0
05/18/2020,82,0,1,0
05/19/2020,82,0,1,0
05/20/2020,82,0,1,0
05/21/2020,82,0,1,0
05/22/2020,82,0,1,0
05/23/2020,82,0,1,0
05/24/2020,82,0,1,0
05/25/2020,82,0,1,0
05/26/2020,82,0,1,0
05/27/2020,82,0,1,0
05/28/2020,82,0,1,0
05/29/2020,82,0,1,0
05/30/2020,82,0,1,0
05/31/2020,82,0,1,0
06/01/2020,82,0,1,0
06/02/2020,82,0,1,0
06/03/2020,82,0,1,0
06/04/2020,82,0,1,0
06/05/2020,82,0,1,0
06/06/2020,82,0,1,0
06/07/2020,82,0,1,0
06/08/2020,82,0,1,0
06/09/2020,82,0,1,0
06/10/2020,82,0,1,0
06/11/2020,82,0,1,0
06/12/2020,82,0,1,0
06/13/2020,82,0,1,0
06/14/2020,82,0,1,0
06/15/2020,82,0,1,0
06/16/2020,82,0,1,0
06/17/2020,82,0,1,0
06/18/2020,82,0,1,0
06/19/2020,82,0,1,0
06/20/2020,82,0,1,0
06/21/2020,82,0,1,0
06/22/2020,83,1,1,0
06/23/2020,83,0,1,0
06/24/2020,83,0,1,0
06/25/2020,83,0,1,0
06/26/2020,83,0,1,0
06/27/2020,83,0,1,0
06/28/2020,83,0,1,0
06/29/2020,83,0,1,0
06/30/2020,83,0,1,0
07/01/2020,83,0,1,0
07/02/2020,83,0,1,0
07/03/2020,83,0,1,0
07/04/2020,83,0,1,0
07/05/2020,83,0,1,0
