Updated,ConfirmedChange,DeathsChange
03/01/2020,0,0
03/02/2020,0.0,0.0
03/03/2020,2.0,0.0
03/04/2020,0.0,0.0
03/05/2020,3.0,0.0
03/06/2020,11.0,0.0
03/07/2020,7.0,0.0
03/08/2020,6.0,0.0
03/09/2020,6.0,0.0
03/10/2020,25.0,0.0
03/11/2020,31.0,0.0
03/12/2020,22.0,0.0
03/13/2020,25.0,0.0
03/14/2020,48.0,0.0
03/15/2020,109.0,0.0
03/16/2020,85.0,0.0
03/17/2020,67.0,0.0
03/18/2020,110.0,0.0
03/19/2020,205.0,0.0
03/20/2020,124.0,0.0
03/21/2020,158.0,0.0
03/22/2020,114.0,1.0
03/23/2020,126.0,0.0
03/24/2020,185.0,2.0
03/25/2020,291.0,6.0
03/26/2020,259.0,1.0
03/27/2020,373.0,2.0
03/28/2020,262.0,5.0
03/29/2020,160.0,6.0
03/30/2020,184.0,6.0
03/31/2020,307.0,7.0
04/01/2020,281.0,8.0
04/02/2020,269.0,5.0
04/03/2020,332.0,9.0
04/04/2020,282.0,8.0
04/05/2020,115.0,12.0
04/06/2020,235.0,7.0
04/07/2020,195.0,9.0
04/08/2020,295.0,14.0
04/09/2020,257.0,11.0
04/10/2020,163.0,9.0
04/11/2020,170.0,10.0
04/12/2020,89.0,10.0
04/13/2020,68.0,11.0
04/14/2020,82.0,8.0
04/15/2020,160.0,0.0
04/16/2020,132.0,2.0
04/17/2020,116.0,7.0
04/18/2020,105.0,4.0
04/19/2020,92.0,9.0
04/20/2020,154.0,6.0
04/21/2020,133.0,9.0
04/22/2020,99.0,2.0
04/23/2020,55.0,3.0
04/24/2020,86.0,6.0
04/25/2020,79.0,4.0
04/26/2020,52.0,3.0
04/27/2020,41.0,2.0
04/28/2020,59.0,6.0
04/29/2020,75.0,3.0
04/30/2020,103.0,7.0
05/01/2020,55.0,5.0
05/02/2020,18.0,2.0
05/03/2020,26.0,1.0
05/04/2020,38.0,11.0
05/05/2020,77.0,3.0
05/06/2020,78.0,5.0
05/07/2020,57.0,5.0
05/08/2020,46.0,4.0
05/09/2020,18.0,4.0
05/10/2020,28.0,3.0
05/11/2020,53.0,2.0
05/12/2020,45.0,3.0
05/13/2020,48.0,3.0
05/14/2020,82.0,1.0
05/15/2020,55.0,3.0
05/16/2020,49.0,1.0
05/17/2020,20.0,2.0
05/18/2020,111.0,4.0
05/19/2020,61.0,1.0
05/20/2020,74.0,5.0
05/21/2020,33.0,3.0
05/22/2020,59.0,2.0
05/23/2020,77.0,2.0
05/24/2020,65.0,2.0
05/25/2020,47.0,1.0
05/26/2020,48.0,0.0
05/27/2020,36.0,0.0
05/28/2020,54.0,2.0
05/29/2020,56.0,0.0
05/30/2020,34.0,0.0
05/31/2020,38.0,0.0
06/01/2020,34.0,2.0
06/02/2020,62.0,1.0
06/03/2020,74.0,1.0
06/04/2020,56.0,3.0
06/05/2020,35.0,0.0
06/06/2020,38.0,0.0
06/07/2020,61.0,0.0
06/08/2020,69.0,0.0
06/09/2020,54.0,0.0
06/10/2020,73.0,0.0
06/11/2020,62.0,1.0
06/12/2020,52.0,0.0
06/13/2020,53.0,0.0
06/14/2020,8.0,1.0
06/15/2020,56.0,1.0
06/16/2020,56.0,2.0
06/17/2020,51.0,1.0
06/18/2020,118.0,2.0
06/19/2020,126.0,0.0
06/20/2020,42.0,0.0
06/21/2020,50.0,1.0
06/22/2020,93.0,1.0
06/23/2020,93.0,2.0
06/24/2020,93.0,3.0
06/25/2020,93.0,3.0
04/15/2020,93.0,3.0
04/16/2020,42.0,3.0
04/17/2020,16.0,3.0
04/18/2020,8.0,3.0
04/19/2020,9.0,3.0
04/20/2020,3.0,3.0
04/21/2020,13.0,3.0
04/22/2020,15.0,3.0
04/23/2020,1.0,3.0
04/24/2020,7.0,3.0
04/25/2020,12.0,3.0
04/26/2020,4.0,3.0
04/27/2020,6.0,3.0
04/28/2020,4.0,3.0
04/29/2020,6.0,3.0
04/30/2020,5.0,3.0
05/01/2020,5.0,3.0
05/02/2020,5.0,3.0
05/03/2020,5.0,3.0
05/04/2020,5.0,3.0
05/05/2020,9.0,3.0
05/06/2020,3.0,3.0
05/07/2020,11.0,3.0
05/08/2020,3.0,3.0
05/09/2020,4.0,3.0
05/10/2020,5.0,3.0
05/11/2020,8.0,3.0
05/12/2020,5.0,3.0
05/13/2020,11.0,3.0
05/14/2020,30.0,3.0
05/15/2020,11.0,3.0
05/16/2020,2.0,3.0
05/17/2020,2.0,3.0
05/18/2020,3.0,3.0
05/19/2020,9.0,3.0
05/20/2020,10.0,3.0
05/21/2020,3.0,3.0
05/22/2020,3.0,3.0
05/23/2020,4.0,3.0
05/24/2020,2.0,3.0
05/25/2020,2.0,3.0
05/26/2020,3.0,3.0
05/27/2020,2.0,3.0
05/28/2020,3.0,3.0
05/29/2020,3.0,3.0
05/30/2020,7.0,3.0
05/31/2020,1.0,3.0
06/01/2020,1.0,3.0
06/02/2020,0.0,3.0
06/03/2020,0.0,3.0
06/04/2020,1.0,3.0
06/05/2020,6.0,3.0
06/06/2020,2.0,3.0
06/07/2020,1.0,3.0
06/08/2020,2.0,3.0
06/09/2020,9.0,3.0
06/10/2020,2.0,3.0
06/11/2020,13.0,3.0
06/12/2020,13.0,3.0
06/13/2020,10.0,3.0
06/14/2020,4.0,3.0
06/15/2020,-75.0,3.0
06/16/2020,0.0,3.0
06/17/2020,0.0,3.0
06/18/2020,0.0,3.0
06/19/2020,0.0,3.0
06/20/2020,0.0,3.0
06/21/2020,0.0,3.0
06/22/2020,0.0,3.0
06/23/2020,0.0,3.0
06/24/2020,0.0,3.0
06/25/2020,0.0,3.0
04/15/2020,0.0,3.0
04/16/2020,2.0,3.0
04/17/2020,4.0,3.0
04/19/2020,1.0,3.0
04/20/2020,1.0,3.0
04/21/2020,1.0,3.0
04/23/2020,0.0,3.0
04/25/2020,0.0,3.0
04/27/2020,0.0,3.0
04/28/2020,1.0,3.0
04/29/2020,0.0,3.0
04/30/2020,0.0,3.0
05/01/2020,0.0,3.0
05/02/2020,0.0,3.0
05/03/2020,0.0,3.0
05/04/2020,0.0,3.0
05/05/2020,1.0,3.0
05/06/2020,1.0,3.0
05/07/2020,3.0,3.0
05/08/2020,2.0,3.0
05/09/2020,1.0,3.0
05/10/2020,1.0,3.0
05/11/2020,2.0,3.0
05/12/2020,1.0,3.0
05/13/2020,1.0,3.0
05/14/2020,0.0,3.0
05/15/2020,1.0,3.0
05/16/2020,0.0,3.0
05/17/2020,0.0,3.0
05/18/2020,0.0,3.0
05/19/2020,0.0,3.0
05/20/2020,0.0,3.0
05/21/2020,0.0,3.0
05/22/2020,1.0,3.0
05/23/2020,1.0,3.0
05/24/2020,0.0,3.0
05/25/2020,0.0,3.0
05/26/2020,0.0,3.0
05/27/2020,0.0,3.0
05/28/2020,1.0,3.0
05/29/2020,0.0,3.0
05/30/2020,0.0,3.0
05/31/2020,0.0,3.0
06/01/2020,0.0,3.0
06/02/2020,0.0,3.0
06/03/2020,0.0,3.0
06/04/2020,0.0,3.0
06/05/2020,0.0,3.0
06/06/2020,0.0,3.0
06/07/2020,0.0,3.0
06/08/2020,0.0,3.0
06/09/2020,0.0,3.0
06/10/2020,0.0,3.0
06/11/2020,0.0,3.0
06/12/2020,0.0,3.0
06/13/2020,0.0,3.0
06/14/2020,0.0,3.0
06/15/2020,0.0,3.0
06/16/2020,0.0,3.0
06/17/2020,0.0,3.0
06/18/2020,0.0,3.0
06/19/2020,0.0,3.0
06/20/2020,0.0,3.0
06/21/2020,0.0,3.0
06/22/2020,0.0,3.0
06/23/2020,0.0,3.0
06/24/2020,0.0,3.0
06/25/2020,0.0,3.0
05/08/2020,0.0,3.0
05/09/2020,2.0,3.0
05/10/2020,1.0,3.0
05/11/2020,1.0,3.0
05/12/2020,1.0,3.0
05/13/2020,1.0,3.0
05/14/2020,1.0,3.0
05/15/2020,0.0,3.0
05/16/2020,0.0,3.0
05/17/2020,0.0,3.0
05/18/2020,1.0,3.0
05/19/2020,1.0,3.0
05/20/2020,0.0,3.0
05/21/2020,0.0,3.0
05/22/2020,0.0,3.0
05/23/2020,0.0,3.0
05/24/2020,0.0,3.0
05/25/2020,0.0,3.0
05/26/2020,0.0,3.0
05/27/2020,0.0,3.0
05/28/2020,1.0,3.0
05/29/2020,0.0,3.0
05/30/2020,0.0,3.0
05/31/2020,1.0,3.0
06/01/2020,0.0,3.0
06/02/2020,1.0,3.0
06/03/2020,1.0,3.0
06/04/2020,0.0,3.0
06/05/2020,1.0,3.0
06/06/2020,0.0,3.0
06/07/2020,0.0,3.0
06/08/2020,0.0,3.0
06/09/2020,0.0,3.0
06/10/2020,1.0,3.0
06/11/2020,1.0,3.0
06/12/2020,0.0,3.0
06/13/2020,0.0,3.0
06/14/2020,0.0,3.0
06/15/2020,0.0,3.0
04/15/2020,0.0,3.0
04/16/2020,11.0,3.0
04/17/2020,8.0,3.0
04/19/2020,13.0,3.0
04/20/2020,9.0,3.0
04/21/2020,14.0,3.0
04/22/2020,11.0,3.0
04/23/2020,15.0,3.0
04/24/2020,12.0,3.0
04/25/2020,30.0,3.0
04/26/2020,19.0,3.0
04/27/2020,1.0,3.0
04/29/2020,5.0,3.0
04/30/2020,5.0,3.0
05/01/2020,5.0,3.0
05/02/2020,5.0,3.0
05/03/2020,5.0,3.0
05/04/2020,6.0,3.0
05/05/2020,27.0,3.0
05/06/2020,3.0,3.0
05/07/2020,8.0,3.0
05/08/2020,6.0,3.0
05/09/2020,0.0,3.0
05/10/2020,1.0,3.0
05/11/2020,3.0,3.0
05/12/2020,1.0,3.0
05/13/2020,4.0,3.0
05/14/2020,2.0,3.0
05/15/2020,0.0,3.0
05/16/2020,0.0,3.0
05/17/2020,1.0,3.0
05/18/2020,1.0,3.0
05/19/2020,3.0,3.0
05/20/2020,3.0,3.0
05/21/2020,2.0,3.0
05/22/2020,1.0,3.0
05/23/2020,1.0,3.0
05/24/2020,4.0,3.0
05/25/2020,0.0,3.0
05/26/2020,0.0,3.0
05/27/2020,0.0,3.0
05/28/2020,1.0,3.0
05/29/2020,1.0,3.0
05/30/2020,0.0,3.0
05/31/2020,0.0,3.0
06/01/2020,1.0,3.0
06/02/2020,1.0,3.0
06/03/2020,6.0,3.0
06/04/2020,6.0,3.0
06/05/2020,6.0,3.0
06/06/2020,0.0,3.0
06/07/2020,0.0,3.0
06/08/2020,1.0,3.0
06/09/2020,1.0,3.0
06/10/2020,2.0,3.0
06/11/2020,3.0,3.0
06/12/2020,3.0,3.0
06/13/2020,2.0,3.0
06/14/2020,0.0,3.0
06/15/2020,-34.0,3.0
06/16/2020,0.0,3.0
06/17/2020,0.0,3.0
06/18/2020,0.0,3.0
06/19/2020,0.0,3.0
06/20/2020,0.0,3.0
06/21/2020,0.0,3.0
06/22/2020,0.0,3.0
06/23/2020,0.0,3.0
06/24/2020,0.0,3.0
06/25/2020,0.0,3.0
04/15/2020,0.0,3.0
04/16/2020,7.0,3.0
04/17/2020,1.0,3.0
04/19/2020,4.0,3.0
04/21/2020,0.0,3.0
04/23/2020,1.0,3.0
04/24/2020,1.0,3.0
04/25/2020,1.0,3.0
04/27/2020,0.0,3.0
04/29/2020,1.0,3.0
04/30/2020,0.0,3.0
05/01/2020,0.0,3.0
05/02/2020,0.0,3.0
05/03/2020,0.0,3.0
05/04/2020,1.0,3.0
05/05/2020,0.0,3.0
05/06/2020,0.0,3.0
05/07/2020,0.0,3.0
05/08/2020,1.0,3.0
05/09/2020,0.0,3.0
05/10/2020,0.0,3.0
05/11/2020,0.0,3.0
05/12/2020,1.0,3.0
05/13/2020,0.0,3.0
05/14/2020,0.0,3.0
05/15/2020,0.0,3.0
05/16/2020,1.0,3.0
05/17/2020,1.0,3.0
05/18/2020,0.0,3.0
05/19/2020,0.0,3.0
05/20/2020,0.0,3.0
05/21/2020,0.0,3.0
05/22/2020,0.0,3.0
05/23/2020,0.0,3.0
05/24/2020,0.0,3.0
05/25/2020,0.0,3.0
05/26/2020,0.0,3.0
05/27/2020,0.0,3.0
05/28/2020,0.0,3.0
05/29/2020,0.0,3.0
05/30/2020,0.0,3.0
05/31/2020,0.0,3.0
06/01/2020,0.0,3.0
06/02/2020,0.0,3.0
06/03/2020,0.0,3.0
06/04/2020,0.0,3.0
06/05/2020,0.0,3.0
06/06/2020,0.0,3.0
06/07/2020,0.0,3.0
06/08/2020,0.0,3.0
06/09/2020,0.0,3.0
06/10/2020,0.0,3.0
06/11/2020,0.0,3.0
06/12/2020,0.0,3.0
06/13/2020,0.0,3.0
06/14/2020,0.0,3.0
06/15/2020,0.0,3.0
06/16/2020,0.0,3.0
06/17/2020,0.0,3.0
06/18/2020,0.0,3.0
06/19/2020,0.0,3.0
06/20/2020,0.0,3.0
06/21/2020,0.0,3.0
06/22/2020,0.0,3.0
06/23/2020,0.0,3.0
06/24/2020,0.0,3.0
06/25/2020,0.0,3.0
05/08/2020,0.0,3.0
05/09/2020,0.0,3.0
05/10/2020,0.0,3.0
05/11/2020,0.0,3.0
05/12/2020,1.0,3.0
05/13/2020,0.0,3.0
05/14/2020,0.0,3.0
05/15/2020,1.0,3.0
05/16/2020,1.0,3.0
05/17/2020,0.0,3.0
05/18/2020,0.0,3.0
05/19/2020,0.0,3.0
05/20/2020,0.0,3.0
05/21/2020,0.0,3.0
05/22/2020,0.0,3.0
05/23/2020,0.0,3.0
05/24/2020,0.0,3.0
05/25/2020,0.0,3.0
05/26/2020,0.0,3.0
05/27/2020,0.0,3.0
05/28/2020,0.0,3.0
05/29/2020,0.0,3.0
05/30/2020,0.0,3.0
05/31/2020,0.0,3.0
06/01/2020,0.0,3.0
06/02/2020,0.0,3.0
06/03/2020,1.0,3.0
06/04/2020,1.0,3.0
06/05/2020,0.0,3.0
06/06/2020,0.0,3.0
06/07/2020,0.0,3.0
06/08/2020,0.0,3.0
06/09/2020,0.0,3.0
06/10/2020,0.0,3.0
06/11/2020,0.0,3.0
06/12/2020,0.0,3.0
06/13/2020,0.0,3.0
06/14/2020,0.0,3.0
06/15/2020,0.0,3.0
04/15/2020,0.0,3.0
04/16/2020,40.0,3.0
04/17/2020,40.0,3.0
04/18/2020,24.0,3.0
04/19/2020,16.0,3.0
04/20/2020,16.0,3.0
04/21/2020,25.0,3.0
04/22/2020,40.0,3.0
04/23/2020,14.0,3.0
04/24/2020,25.0,3.0
04/25/2020,13.0,3.0
04/26/2020,14.0,3.0
04/27/2020,12.0,3.0
04/28/2020,7.0,3.0
04/29/2020,13.0,3.0
04/30/2020,16.0,3.0
05/01/2020,16.0,3.0
05/02/2020,16.0,3.0
05/03/2020,17.0,3.0
05/04/2020,17.0,3.0
05/05/2020,6.0,3.0
05/06/2020,16.0,3.0
05/07/2020,28.0,3.0
05/08/2020,6.0,3.0
05/09/2020,4.0,3.0
