Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
513,1,35,467,Aichi
16,0,0,16,Akita
27,0,1,26,Aomori
919,3,45,846,Chiba
82,0,4,69,Ehime
122,0,8,113,Fukui
651,-157,28,706,Fukuoka
81,0,0,79,Fukushima
153,0,7,143,Gifu
151,0,19,127,Gunma
168,0,3,165,Hiroshima
914,-218,91,943,Hokkaido
699,0,43,653,Hyogo
168,0,10,155,Ibaraki
299,0,27,241,Ishikawa
0,0,0,0,Iwate
28,0,0,28,Kagawa
11,0,0,10,Kagoshima
1402,1,89,1213,Kanagawa
74,0,3,71,Kochi
48,0,3,45,Kumamoto
360,0,18,338,Kyoto
45,0,1,44,Mie
88,0,1,87,Miyagi
17,0,0,17,Miyazaki
76,0,0,73,Nagano
17,0,1,16,Nagasaki
92,0,2,90,Nara
83,0,0,81,Niigata
60,0,1,59,Oita
25,0,0,25,Okayama
142,0,4,25,Okinawa
1786,1,85,1668,Osaka
47,0,0,47,Saga
1019,2,51,943,Saitama
100,0,1,98,Shiga
24,0,0,23,Shimane
77,1,1,73,Shizuoka
66,0,0,65,Tochigi
5,0,1,4,Tokushima
5520,23,314,4862,Tokyo
3,0,0,3,Tottori
227,0,22,202,Toyama
63,0,3,60,Wakayama
69,0,0,67,Yamagata
37,0,0,36,Yamaguchi
69,1,1,67,Yamanashi
