Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
207,1,5,161,Alajuela
86,0,3,73,Alajuela
5,0,0,3,Alajuela
16,0,1,15,Alajuela
0,0,0,0,Alajuela
1,0,0,0,Alajuela
11,0,0,5,Alajuela
8,0,0,7,Alajuela
12,0,0,11,Alajuela
7,0,0,6,Alajuela
0,0,0,0,Alajuela
32,1,0,29,Alajuela
0,0,0,0,Alajuela
18,0,0,7,Alajuela
8,0,0,5,Alajuela
4,0,1,0,Alajuela
0,0,0,0,Alajuela
63,0,0,41,Cartago
1,0,0,1,Cartago
17,0,0,13,Cartago
6,0,0,5,Cartago
2,0,0,2,Cartago
25,0,0,15,Cartago
8,0,0,4,Cartago
2,0,0,1,Cartago
2,0,0,0,Cartago
53,3,0,16,Guanacaste
6,0,0,1,Guanacaste
6,0,0,1,Guanacaste
19,0,0,1,Guanacaste
2,0,0,2,Guanacaste
1,0,0,1,Guanacaste
7,0,0,0,Guanacaste
7,3,0,1,Guanacaste
0,0,0,0,Guanacaste
4,0,0,4,Guanacaste
4,0,0,3,Guanacaste
2,0,0,2,Guanacaste
93,0,0,57,Heredia
8,0,0,8,Heredia
4,0,0,4,Heredia
10,0,0,8,Heredia
1,0,0,1,Heredia
45,0,0,16,Heredia
1,0,0,1,Heredia
13,0,0,12,Heredia
3,0,0,3,Heredia
8,0,0,7,Heredia
1,0,0,0,Heredia
16,0,0,9,Limon
1,0,0,0,Limon
0,0,0,0,Limon
9,0,0,6,Limon
1,0,0,0,Limon
3,0,0,2,Limon
2,0,0,1,Limon
44,0,0,34,Puntarenas
0,0,0,0,Puntarenas
1,0,0,0,Puntarenas
2,0,0,2,Puntarenas
2,0,0,2,Puntarenas
22,0,0,19,Puntarenas
2,0,0,0,Puntarenas
2,0,0,2,Puntarenas
6,0,0,3,Puntarenas
0,0,0,0,Puntarenas
6,0,0,6,Puntarenas
2,0,0,0,Puntarenas
442,8,5,299,San Jose
0,0,0,0,San Jose
15,0,0,13,San Jose
20,0,0,10,San Jose
25,1,0,18,San Jose
25,0,0,19,San Jose
49,0,1,31,San Jose
0,0,0,0,San Jose
30,0,0,29,San Jose
34,1,0,17,San Jose
0,0,0,0,San Jose
18,0,0,16,San Jose
8,0,1,5,San Jose
15,1,0,12,San Jose
5,1,0,3,San Jose
2,0,0,1,San Jose
137,2,2,76,San Jose
44,0,1,37,San Jose
4,0,0,3,San Jose
2,0,0,2,San Jose
11,1,0,7,San Jose
