Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/04/2020,126,0,0,0,Alajuela
04/06/2020,136,10.0,0,0,Alajuela
04/07/2020,138,2.0,0,0,Alajuela
04/08/2020,145,7.0,0,0,Alajuela
04/10/2020,158,13.0,0,0,Alajuela
04/11/2020,160,2.0,0,0,Alajuela
04/13/2020,162,2.0,0,0,Alajuela
04/14/2020,163,1.0,0,0,Alajuela
04/15/2020,164,1.0,0,0,Alajuela
04/16/2020,164,0.0,0,0,Alajuela
04/17/2020,165,1.0,0,0,Alajuela
04/19/2020,166,1.0,0,0,Alajuela
04/20/2020,167,1.0,0,0,Alajuela
04/21/2020,192,25.0,0,0,Alajuela
04/23/2020,192,0.0,0,0,Alajuela
04/24/2020,192,0.0,2.0,69.0,Alajuela
04/26/2020,192,0.0,2.0,69.0,Alajuela
04/27/2020,192,0.0,2.0,83.0,Alajuela
04/28/2020,192,0.0,2.0,90.0,Alajuela
04/29/2020,192,0.0,2.0,90.0,Alajuela
04/30/2020,192,0.0,2.0,90.0,Alajuela
05/01/2020,192,0.0,2.0,96.0,Alajuela
05/02/2020,192,0.0,2.0,96.0,Alajuela
05/03/2020,192,0.0,2.0,96.0,Alajuela
05/04/2020,192,0.0,2.0,106.0,Alajuela
05/05/2020,192,0.0,2.0,106.0,Alajuela
05/06/2020,192,0.0,2.0,115.0,Alajuela
05/07/2020,192,0.0,2.0,121.0,Alajuela
05/08/2020,192,0.0,2.0,126.0,Alajuela
05/09/2020,192,0.0,2.0,121.0,Alajuela
05/10/2020,192,0.0,2.0,138.0,Alajuela
05/11/2020,192,0.0,2.0,138.0,Alajuela
05/12/2020,192,0.0,2.0,121.0,Alajuela
05/13/2020,192,0.0,3.0,146.0,Alajuela
05/14/2020,192,0.0,4.0,148.0,Alajuela
05/15/2020,192,0.0,4.0,151.0,Alajuela
05/16/2020,193,1.0,4.0,153.0,Alajuela
05/17/2020,194,1.0,5.0,153.0,Alajuela
05/18/2020,197,3.0,5.0,155.0,Alajuela
05/19/2020,201,4.0,5.0,155.0,Alajuela
05/20/2020,202,1.0,5.0,153.0,Alajuela
05/21/2020,203,1.0,5.0,157.0,Alajuela
05/22/2020,205,2.0,5.0,158.0,Alajuela
05/23/2020,206,1.0,5.0,158.0,Alajuela
05/24/2020,207,1.0,5.0,161.0,Alajuela
05/25/2020,209,2.0,5.0,161.0,Alajuela
05/26/2020,210,1.0,5.0,163.0,Alajuela
05/27/2020,223,13.0,5.0,164.0,Alajuela
05/28/2020,233,10.0,5.0,165.0,Alajuela
05/29/2020,245,12.0,5.0,166.0,Alajuela
05/30/2020,262,17.0,5.0,167.0,Alajuela
05/31/2020,267,5.0,5.0,167.0,Alajuela
06/01/2020,272,5.0,5.0,170.0,Alajuela
06/02/2020,280,8.0,5.0,170.0,Alajuela
06/03/2020,293,13.0,5.0,171.0,Alajuela
06/04/2020,314,21.0,5.0,171.0,Alajuela
06/05/2020,328,14.0,5.0,173.0,Alajuela
06/06/2020,349,21.0,5.0,173.0,Alajuela
06/07/2020,370,21.0,5.0,173.0,Alajuela
06/08/2020,392,22.0,5.0,176.0,Alajuela
06/09/2020,405,13.0,6.0,179.0,Alajuela
06/10/2020,454,49.0,6.0,182.0,Alajuela
06/11/2020,492,38.0,6.0,182.0,Alajuela
06/12/2020,517,25.0,6.0,176.0,Alajuela
06/13/2020,542,25.0,6.0,176.0,Alajuela
06/14/2020,568,26.0,6.0,185.0,Alajuela
06/15/2020,577,9.0,6.0,185.0,Alajuela
06/16/2020,586,9.0,6.0,189.0,Alajuela
06/17/2020,614,28.0,6.0,189.0,Alajuela
06/18/2020,643,29.0,6.0,220.0,Alajuela
06/19/2020,662,19.0,6.0,176.0,Alajuela
06/20/2020,681,19.0,6.0,176.0,Alajuela
06/21/2020,700,19.0,6.0,176.0,Alajuela
06/22/2020,719,19.0,6.0,242.0,Alajuela
06/23/2020,723,4.0,6.0,242.0,Alajuela
06/24/2020,727,4.0,6.0,303.0,Alajuela
06/25/2020,814,87.0,6.0,352.0,Alajuela
04/04/2020,65,87.0,6.0,352.0,Alajuela
04/06/2020,66,1.0,6.0,352.0,Alajuela
04/07/2020,66,0.0,6.0,352.0,Alajuela
04/08/2020,67,1.0,6.0,352.0,Alajuela
04/10/2020,70,3.0,6.0,352.0,Alajuela
04/11/2020,71,1.0,6.0,352.0,Alajuela
04/13/2020,71,0.0,6.0,352.0,Alajuela
04/14/2020,72,1.0,6.0,352.0,Alajuela
04/15/2020,73,1.0,6.0,352.0,Alajuela
04/17/2020,74,1.0,6.0,352.0,Alajuela
05/06/2020,82,8.0,2.0,56.0,Alajuela
05/07/2020,82,0.0,2.0,57.0,Alajuela
05/08/2020,82,0.0,2.0,58.0,Alajuela
05/09/2020,82,0.0,2.0,62.0,Alajuela
05/10/2020,82,0.0,2.0,63.0,Alajuela
05/11/2020,82,0.0,2.0,63.0,Alajuela
05/12/2020,82,0.0,2.0,65.0,Alajuela
05/13/2020,82,0.0,2.0,67.0,Alajuela
05/14/2020,82,0.0,2.0,67.0,Alajuela
05/15/2020,83,1.0,2.0,68.0,Alajuela
05/16/2020,83,0.0,2.0,70.0,Alajuela
05/17/2020,84,1.0,3.0,70.0,Alajuela
05/18/2020,84,0.0,3.0,70.0,Alajuela
05/19/2020,84,0.0,3.0,70.0,Alajuela
05/20/2020,85,1.0,3.0,70.0,Alajuela
05/21/2020,85,0.0,3.0,72.0,Alajuela
05/22/2020,85,0.0,3.0,72.0,Alajuela
05/23/2020,86,1.0,3.0,72.0,Alajuela
05/24/2020,86,0.0,3.0,73.0,Alajuela
05/25/2020,86,0.0,3.0,73.0,Alajuela
05/26/2020,86,0.0,3.0,74.0,Alajuela
05/27/2020,86,0.0,3.0,74.0,Alajuela
05/28/2020,87,1.0,3.0,74.0,Alajuela
05/29/2020,87,0.0,3.0,74.0,Alajuela
05/30/2020,88,1.0,3.0,75.0,Alajuela
05/31/2020,88,0.0,3.0,75.0,Alajuela
06/01/2020,88,0.0,3.0,77.0,Alajuela
06/02/2020,89,1.0,3.0,77.0,Alajuela
06/03/2020,90,1.0,3.0,78.0,Alajuela
06/04/2020,92,2.0,3.0,78.0,Alajuela
06/05/2020,100,8.0,3.0,78.0,Alajuela
06/06/2020,100,0.0,3.0,78.0,Alajuela
06/07/2020,101,1.0,3.0,78.0,Alajuela
06/08/2020,102,1.0,3.0,78.0,Alajuela
06/09/2020,104,2.0,3.0,79.0,Alajuela
06/10/2020,107,3.0,3.0,79.0,Alajuela
06/11/2020,110,3.0,3.0,79.0,Alajuela
06/12/2020,111,1.0,3.0,81.0,Alajuela
06/13/2020,111,0.0,3.0,81.0,Alajuela
06/14/2020,112,1.0,3.0,81.0,Alajuela
06/15/2020,113,1.0,3.0,81.0,Alajuela
06/16/2020,115,2.0,3.0,81.0,Alajuela
06/17/2020,118,3.0,3.0,81.0,Alajuela
06/18/2020,121,3.0,3.0,81.0,Alajuela
06/19/2020,125,4.0,3.0,81.0,Alajuela
06/20/2020,129,4.0,3.0,81.0,Alajuela
06/21/2020,131,2.0,3.0,81.0,Alajuela
06/22/2020,135,4.0,3.0,81.0,Alajuela
06/23/2020,136,1.0,3.0,81.0,Alajuela
06/24/2020,138,2.0,3.0,81.0,Alajuela
06/25/2020,162,24.0,3.0,82.0,Alajuela
04/04/2020,2,24.0,3.0,82.0,Alajuela
04/06/2020,2,0.0,3.0,82.0,Alajuela
04/07/2020,2,0.0,3.0,82.0,Alajuela
04/08/2020,2,0.0,3.0,82.0,Alajuela
04/10/2020,2,0.0,3.0,82.0,Alajuela
04/13/2020,2,0.0,3.0,82.0,Alajuela
04/15/2020,2,0.0,3.0,82.0,Alajuela
04/17/2020,2,0.0,3.0,82.0,Alajuela
05/06/2020,4,2.0,0.0,1.0,Alajuela
05/07/2020,4,0.0,0.0,1.0,Alajuela
05/08/2020,4,0.0,0.0,2.0,Alajuela
05/09/2020,4,0.0,0.0,2.0,Alajuela
05/10/2020,4,0.0,0.0,2.0,Alajuela
05/11/2020,4,0.0,0.0,2.0,Alajuela
05/12/2020,4,0.0,0.0,3.0,Alajuela
05/13/2020,4,0.0,0.0,3.0,Alajuela
05/14/2020,4,0.0,0.0,3.0,Alajuela
05/15/2020,4,0.0,0.0,3.0,Alajuela
05/16/2020,4,0.0,0.0,3.0,Alajuela
05/17/2020,4,0.0,0.0,3.0,Alajuela
05/18/2020,4,0.0,0.0,3.0,Alajuela
05/19/2020,5,1.0,0.0,3.0,Alajuela
05/20/2020,5,0.0,0.0,3.0,Alajuela
05/21/2020,5,0.0,0.0,3.0,Alajuela
05/22/2020,5,0.0,0.0,3.0,Alajuela
05/23/2020,5,0.0,0.0,3.0,Alajuela
05/24/2020,5,0.0,0.0,3.0,Alajuela
05/25/2020,5,0.0,0.0,3.0,Alajuela
05/26/2020,6,1.0,0.0,3.0,Alajuela
05/27/2020,6,0.0,0.0,3.0,Alajuela
05/28/2020,6,0.0,0.0,3.0,Alajuela
05/29/2020,6,0.0,0.0,3.0,Alajuela
05/30/2020,6,0.0,0.0,3.0,Alajuela
05/31/2020,6,0.0,0.0,3.0,Alajuela
06/01/2020,6,0.0,0.0,3.0,Alajuela
06/02/2020,6,0.0,0.0,3.0,Alajuela
06/03/2020,6,0.0,0.0,3.0,Alajuela
06/04/2020,6,0.0,0.0,3.0,Alajuela
06/05/2020,6,0.0,0.0,3.0,Alajuela
06/06/2020,6,0.0,0.0,3.0,Alajuela
06/07/2020,6,0.0,0.0,3.0,Alajuela
06/08/2020,6,0.0,0.0,3.0,Alajuela
06/09/2020,6,0.0,0.0,3.0,Alajuela
06/10/2020,6,0.0,0.0,4.0,Alajuela
06/11/2020,6,0.0,0.0,4.0,Alajuela
06/12/2020,6,0.0,0.0,4.0,Alajuela
06/13/2020,6,0.0,0.0,4.0,Alajuela
06/14/2020,6,0.0,0.0,4.0,Alajuela
06/15/2020,6,0.0,0.0,4.0,Alajuela
06/16/2020,6,0.0,0.0,6.0,Alajuela
06/17/2020,6,0.0,0.0,6.0,Alajuela
06/18/2020,6,0.0,0.0,6.0,Alajuela
06/19/2020,6,0.0,0.0,6.0,Alajuela
06/20/2020,9,3.0,0.0,6.0,Alajuela
06/21/2020,9,0.0,0.0,6.0,Alajuela
06/22/2020,9,0.0,0.0,6.0,Alajuela
06/23/2020,9,0.0,0.0,6.0,Alajuela
06/24/2020,9,0.0,0.0,6.0,Alajuela
06/25/2020,9,0.0,0.0,6.0,Alajuela
04/04/2020,14,0.0,0.0,6.0,Alajuela
04/06/2020,14,0.0,0.0,6.0,Alajuela
04/07/2020,14,0.0,0.0,6.0,Alajuela
04/08/2020,14,0.0,0.0,6.0,Alajuela
04/10/2020,15,1.0,0.0,6.0,Alajuela
04/13/2020,15,0.0,0.0,6.0,Alajuela
04/15/2020,15,0.0,0.0,6.0,Alajuela
04/17/2020,15,0.0,0.0,6.0,Alajuela
05/06/2020,16,1.0,0.0,11.0,Alajuela
05/07/2020,16,0.0,0.0,11.0,Alajuela
05/08/2020,16,0.0,0.0,12.0,Alajuela
05/09/2020,16,0.0,0.0,13.0,Alajuela
05/10/2020,16,0.0,0.0,15.0,Alajuela
05/11/2020,16,0.0,0.0,15.0,Alajuela
05/12/2020,16,0.0,0.0,15.0,Alajuela
05/13/2020,16,0.0,0.0,15.0,Alajuela
05/14/2020,16,0.0,1.0,15.0,Alajuela
05/15/2020,16,0.0,1.0,15.0,Alajuela
05/16/2020,16,0.0,1.0,15.0,Alajuela
05/17/2020,16,0.0,1.0,15.0,Alajuela
05/18/2020,16,0.0,1.0,15.0,Alajuela
05/19/2020,16,0.0,1.0,15.0,Alajuela
05/20/2020,16,0.0,1.0,15.0,Alajuela
05/21/2020,16,0.0,1.0,15.0,Alajuela
05/22/2020,16,0.0,1.0,15.0,Alajuela
05/23/2020,16,0.0,1.0,15.0,Alajuela
05/24/2020,16,0.0,1.0,15.0,Alajuela
05/25/2020,16,0.0,1.0,15.0,Alajuela
05/26/2020,16,0.0,1.0,15.0,Alajuela
05/27/2020,17,1.0,1.0,15.0,Alajuela
05/28/2020,17,0.0,1.0,15.0,Alajuela
05/29/2020,17,0.0,1.0,15.0,Alajuela
05/30/2020,17,0.0,1.0,15.0,Alajuela
05/31/2020,17,0.0,1.0,15.0,Alajuela
06/01/2020,17,0.0,1.0,15.0,Alajuela
06/02/2020,17,0.0,1.0,15.0,Alajuela
06/03/2020,18,1.0,1.0,15.0,Alajuela
06/04/2020,18,0.0,1.0,15.0,Alajuela
06/05/2020,18,0.0,1.0,15.0,Alajuela
06/06/2020,18,0.0,1.0,15.0,Alajuela
06/07/2020,19,1.0,1.0,15.0,Alajuela
06/08/2020,19,0.0,1.0,15.0,Alajuela
06/09/2020,19,0.0,1.0,15.0,Alajuela
06/10/2020,19,0.0,1.0,15.0,Alajuela
06/11/2020,19,0.0,1.0,15.0,Alajuela
06/12/2020,19,0.0,1.0,15.0,Alajuela
06/13/2020,20,1.0,1.0,15.0,Alajuela
06/14/2020,20,0.0,1.0,15.0,Alajuela
06/15/2020,20,0.0,1.0,15.0,Alajuela
06/16/2020,20,0.0,1.0,15.0,Alajuela
06/17/2020,20,0.0,1.0,15.0,Alajuela
06/18/2020,20,0.0,1.0,15.0,Alajuela
06/19/2020,20,0.0,1.0,15.0,Alajuela
06/20/2020,20,0.0,1.0,15.0,Alajuela
06/21/2020,20,0.0,1.0,15.0,Alajuela
06/22/2020,21,1.0,1.0,15.0,Alajuela
06/23/2020,21,0.0,1.0,15.0,Alajuela
06/24/2020,22,1.0,1.0,15.0,Alajuela
06/25/2020,25,3.0,1.0,15.0,Alajuela
04/04/2020,0,3.0,1.0,15.0,Alajuela
04/06/2020,0,0.0,1.0,15.0,Alajuela
04/07/2020,0,0.0,1.0,15.0,Alajuela
04/08/2020,0,0.0,1.0,15.0,Alajuela
04/13/2020,0,0.0,1.0,15.0,Alajuela
04/15/2020,0,0.0,1.0,15.0,Alajuela
04/17/2020,0,0.0,1.0,15.0,Alajuela
05/06/2020,0,0.0,0.0,0.0,Alajuela
05/07/2020,0,0.0,0.0,0.0,Alajuela
05/08/2020,0,0.0,0.0,0.0,Alajuela
05/09/2020,0,0.0,0.0,0.0,Alajuela
05/10/2020,0,0.0,0.0,0.0,Alajuela
05/11/2020,0,0.0,0.0,0.0,Alajuela
05/12/2020,0,0.0,0.0,0.0,Alajuela
05/13/2020,0,0.0,0.0,0.0,Alajuela
05/14/2020,0,0.0,0.0,0.0,Alajuela
05/15/2020,0,0.0,0.0,0.0,Alajuela
05/16/2020,0,0.0,0.0,0.0,Alajuela
05/17/2020,0,0.0,0.0,0.0,Alajuela
05/18/2020,0,0.0,0.0,0.0,Alajuela
05/19/2020,0,0.0,0.0,0.0,Alajuela
05/20/2020,0,0.0,0.0,0.0,Alajuela
05/21/2020,0,0.0,0.0,0.0,Alajuela
05/22/2020,0,0.0,0.0,0.0,Alajuela
05/23/2020,0,0.0,0.0,0.0,Alajuela
05/24/2020,0,0.0,0.0,0.0,Alajuela
05/25/2020,0,0.0,0.0,0.0,Alajuela
05/26/2020,0,0.0,0.0,0.0,Alajuela
05/27/2020,0,0.0,0.0,0.0,Alajuela
05/28/2020,0,0.0,0.0,0.0,Alajuela
05/29/2020,0,0.0,0.0,0.0,Alajuela
05/30/2020,0,0.0,0.0,0.0,Alajuela
05/31/2020,0,0.0,0.0,0.0,Alajuela
06/01/2020,0,0.0,0.0,0.0,Alajuela
06/02/2020,0,0.0,0.0,0.0,Alajuela
06/03/2020,1,1.0,0.0,0.0,Alajuela
06/04/2020,1,0.0,0.0,0.0,Alajuela
06/05/2020,1,0.0,0.0,0.0,Alajuela
06/06/2020,1,0.0,0.0,0.0,Alajuela
06/07/2020,1,0.0,0.0,0.0,Alajuela
06/08/2020,1,0.0,0.0,0.0,Alajuela
06/09/2020,2,1.0,1.0,0.0,Alajuela
06/10/2020,2,0.0,1.0,0.0,Alajuela
06/11/2020,2,0.0,1.0,0.0,Alajuela
06/12/2020,2,0.0,1.0,0.0,Alajuela
06/13/2020,2,0.0,1.0,0.0,Alajuela
06/14/2020,2,0.0,1.0,0.0,Alajuela
06/15/2020,2,0.0,1.0,0.0,Alajuela
06/16/2020,2,0.0,1.0,0.0,Alajuela
06/17/2020,2,0.0,1.0,0.0,Alajuela
06/18/2020,4,2.0,1.0,0.0,Alajuela
06/19/2020,4,0.0,1.0,0.0,Alajuela
06/20/2020,9,5.0,1.0,1.0,Alajuela
06/21/2020,16,7.0,1.0,1.0,Alajuela
06/22/2020,16,0.0,1.0,1.0,Alajuela
06/23/2020,16,0.0,1.0,1.0,Alajuela
06/24/2020,18,2.0,1.0,1.0,Alajuela
06/25/2020,42,24.0,1.0,1.0,Alajuela
04/04/2020,0,24.0,1.0,1.0,Alajuela
04/06/2020,0,0.0,1.0,1.0,Alajuela
04/07/2020,0,0.0,1.0,1.0,Alajuela
04/08/2020,0,0.0,1.0,1.0,Alajuela
04/13/2020,0,0.0,1.0,1.0,Alajuela
04/15/2020,0,0.0,1.0,1.0,Alajuela
04/17/2020,0,0.0,1.0,1.0,Alajuela
05/06/2020,0,0.0,0.0,0.0,Alajuela
05/07/2020,0,0.0,0.0,0.0,Alajuela
05/08/2020,0,0.0,0.0,0.0,Alajuela
05/09/2020,0,0.0,0.0,0.0,Alajuela
05/10/2020,0,0.0,0.0,0.0,Alajuela
05/11/2020,0,0.0,0.0,0.0,Alajuela
05/12/2020,0,0.0,0.0,0.0,Alajuela
05/13/2020,0,0.0,0.0,0.0,Alajuela
05/14/2020,0,0.0,0.0,0.0,Alajuela
05/15/2020,0,0.0,0.0,0.0,Alajuela
05/16/2020,0,0.0,0.0,0.0,Alajuela
05/17/2020,0,0.0,0.0,0.0,Alajuela
05/18/2020,0,0.0,0.0,0.0,Alajuela
05/19/2020,0,0.0,0.0,0.0,Alajuela
05/20/2020,0,0.0,0.0,0.0,Alajuela
05/21/2020,0,0.0,0.0,0.0,Alajuela
05/22/2020,1,1.0,0.0,0.0,Alajuela
05/23/2020,1,0.0,0.0,0.0,Alajuela
05/24/2020,1,0.0,0.0,0.0,Alajuela
05/25/2020,1,0.0,0.0,0.0,Alajuela
05/26/2020,1,0.0,0.0,0.0,Alajuela
05/27/2020,3,2.0,0.0,0.0,Alajuela
05/28/2020,4,1.0,0.0,0.0,Alajuela
05/29/2020,9,5.0,0.0,0.0,Alajuela
05/30/2020,12,3.0,0.0,0.0,Alajuela
05/31/2020,12,0.0,0.0,0.0,Alajuela
06/01/2020,13,1.0,0.0,0.0,Alajuela
06/02/2020,13,0.0,0.0,0.0,Alajuela
06/03/2020,13,0.0,0.0,0.0,Alajuela
06/04/2020,13,0.0,0.0,0.0,Alajuela
06/05/2020,13,0.0,0.0,0.0,Alajuela
06/06/2020,13,0.0,0.0,0.0,Alajuela
06/07/2020,13,0.0,0.0,0.0,Alajuela
06/08/2020,13,0.0,0.0,0.0,Alajuela
06/09/2020,13,0.0,0.0,0.0,Alajuela
06/10/2020,13,0.0,0.0,0.0,Alajuela
06/11/2020,13,0.0,0.0,0.0,Alajuela
06/12/2020,13,0.0,0.0,0.0,Alajuela
06/13/2020,13,0.0,0.0,0.0,Alajuela
06/14/2020,14,1.0,0.0,0.0,Alajuela
06/15/2020,14,0.0,0.0,0.0,Alajuela
06/16/2020,15,1.0,0.0,0.0,Alajuela
06/17/2020,15,0.0,0.0,0.0,Alajuela
06/18/2020,54,39.0,0.0,8.0,Alajuela
06/19/2020,54,0.0,0.0,8.0,Alajuela
06/20/2020,55,1.0,0.0,8.0,Alajuela
06/21/2020,58,3.0,0.0,8.0,Alajuela
06/22/2020,61,3.0,0.0,8.0,Alajuela
06/23/2020,64,3.0,0.0,8.0,Alajuela
06/24/2020,68,4.0,0.0,8.0,Alajuela
06/25/2020,72,4.0,0.0,8.0,Alajuela
04/04/2020,4,4.0,0.0,8.0,Alajuela
04/06/2020,4,0.0,0.0,8.0,Alajuela
04/07/2020,4,0.0,0.0,8.0,Alajuela
04/08/2020,4,0.0,0.0,8.0,Alajuela
04/10/2020,4,0.0,0.0,8.0,Alajuela
04/13/2020,4,0.0,0.0,8.0,Alajuela
04/15/2020,4,0.0,0.0,8.0,Alajuela
04/17/2020,4,0.0,0.0,8.0,Alajuela
05/06/2020,6,2.0,0.0,4.0,Alajuela
05/07/2020,6,0.0,0.0,4.0,Alajuela
05/08/2020,7,1.0,0.0,4.0,Alajuela
05/09/2020,9,2.0,0.0,4.0,Alajuela
05/10/2020,9,0.0,0.0,4.0,Alajuela
05/11/2020,9,0.0,0.0,4.0,Alajuela
05/12/2020,9,0.0,0.0,4.0,Alajuela
05/13/2020,9,0.0,0.0,4.0,Alajuela
05/14/2020,9,0.0,0.0,4.0,Alajuela
05/15/2020,9,0.0,0.0,4.0,Alajuela
05/16/2020,9,0.0,0.0,4.0,Alajuela
05/17/2020,9,0.0,0.0,4.0,Alajuela
05/18/2020,9,0.0,0.0,5.0,Alajuela
05/19/2020,10,1.0,0.0,5.0,Alajuela
05/20/2020,10,0.0,0.0,5.0,Alajuela
05/21/2020,10,0.0,0.0,5.0,Alajuela
05/22/2020,11,1.0,0.0,5.0,Alajuela
05/23/2020,11,0.0,0.0,5.0,Alajuela
05/24/2020,11,0.0,0.0,5.0,Alajuela
05/25/2020,11,0.0,0.0,5.0,Alajuela
05/26/2020,11,0.0,0.0,6.0,Alajuela
05/27/2020,11,0.0,0.0,6.0,Alajuela
05/28/2020,12,1.0,0.0,6.0,Alajuela
05/29/2020,12,0.0,0.0,7.0,Alajuela
05/30/2020,12,0.0,0.0,7.0,Alajuela
05/31/2020,12,0.0,0.0,7.0,Alajuela
06/01/2020,12,0.0,0.0,7.0,Alajuela
06/02/2020,12,0.0,0.0,7.0,Alajuela
06/03/2020,12,0.0,0.0,7.0,Alajuela
06/04/2020,12,0.0,0.0,7.0,Alajuela
06/05/2020,12,0.0,0.0,7.0,Alajuela
06/06/2020,12,0.0,0.0,7.0,Alajuela
06/07/2020,12,0.0,0.0,7.0,Alajuela
06/08/2020,12,0.0,0.0,7.0,Alajuela
06/09/2020,12,0.0,0.0,9.0,Alajuela
06/10/2020,12,0.0,0.0,9.0,Alajuela
06/11/2020,12,0.0,0.0,9.0,Alajuela
06/12/2020,13,1.0,0.0,9.0,Alajuela
06/13/2020,13,0.0,0.0,9.0,Alajuela
06/14/2020,13,0.0,0.0,9.0,Alajuela
06/15/2020,13,0.0,0.0,9.0,Alajuela
06/16/2020,13,0.0,0.0,9.0,Alajuela
06/17/2020,13,0.0,0.0,9.0,Alajuela
06/18/2020,13,0.0,0.0,11.0,Alajuela
06/19/2020,13,0.0,0.0,11.0,Alajuela
06/20/2020,13,0.0,0.0,12.0,Alajuela
06/21/2020,13,0.0,0.0,12.0,Alajuela
06/22/2020,13,0.0,0.0,12.0,Alajuela
06/23/2020,13,0.0,0.0,12.0,Alajuela
06/24/2020,13,0.0,0.0,12.0,Alajuela
06/25/2020,13,0.0,0.0,13.0,Alajuela
04/04/2020,5,0.0,0.0,13.0,Alajuela
04/06/2020,6,1.0,0.0,13.0,Alajuela
04/07/2020,6,0.0,0.0,13.0,Alajuela
04/08/2020,7,1.0,0.0,13.0,Alajuela
04/10/2020,7,0.0,0.0,13.0,Alajuela
04/13/2020,7,0.0,0.0,13.0,Alajuela
04/15/2020,7,0.0,0.0,13.0,Alajuela
04/17/2020,7,0.0,0.0,13.0,Alajuela
05/06/2020,7,0.0,0.0,6.0,Alajuela
05/07/2020,7,0.0,0.0,6.0,Alajuela
05/08/2020,8,1.0,0.0,6.0,Alajuela
05/09/2020,8,0.0,0.0,6.0,Alajuela
05/10/2020,8,0.0,0.0,6.0,Alajuela
05/11/2020,8,0.0,0.0,6.0,Alajuela
05/12/2020,8,0.0,0.0,6.0,Alajuela
05/13/2020,8,0.0,0.0,6.0,Alajuela
05/14/2020,8,0.0,0.0,6.0,Alajuela
05/15/2020,8,0.0,0.0,6.0,Alajuela
05/16/2020,8,0.0,0.0,6.0,Alajuela
05/17/2020,8,0.0,0.0,6.0,Alajuela
05/18/2020,8,0.0,0.0,6.0,Alajuela
05/19/2020,8,0.0,0.0,6.0,Alajuela
05/20/2020,8,0.0,0.0,6.0,Alajuela
05/21/2020,8,0.0,0.0,6.0,Alajuela
05/22/2020,8,0.0,0.0,7.0,Alajuela
05/23/2020,8,0.0,0.0,7.0,Alajuela
05/24/2020,8,0.0,0.0,7.0,Alajuela
05/25/2020,8,0.0,0.0,7.0,Alajuela
05/26/2020,8,0.0,0.0,7.0,Alajuela
05/27/2020,8,0.0,0.0,8.0,Alajuela
05/28/2020,8,0.0,0.0,8.0,Alajuela
05/29/2020,8,0.0,0.0,8.0,Alajuela
05/30/2020,8,0.0,0.0,8.0,Alajuela
05/31/2020,8,0.0,0.0,8.0,Alajuela
06/01/2020,9,1.0,0.0,8.0,Alajuela
06/02/2020,9,0.0,0.0,8.0,Alajuela
06/03/2020,9,0.0,0.0,8.0,Alajuela
06/04/2020,9,0.0,0.0,8.0,Alajuela
06/05/2020,9,0.0,0.0,8.0,Alajuela
06/06/2020,9,0.0,0.0,8.0,Alajuela
06/07/2020,9,0.0,0.0,8.0,Alajuela
06/08/2020,9,0.0,0.0,8.0,Alajuela
06/09/2020,9,0.0,0.0,8.0,Alajuela
06/10/2020,9,0.0,0.0,8.0,Alajuela
06/11/2020,9,0.0,0.0,8.0,Alajuela
06/12/2020,9,0.0,0.0,8.0,Alajuela
06/13/2020,9,0.0,0.0,8.0,Alajuela
06/14/2020,9,0.0,0.0,8.0,Alajuela
06/15/2020,9,0.0,0.0,8.0,Alajuela
06/16/2020,9,0.0,0.0,8.0,Alajuela
06/17/2020,9,0.0,0.0,8.0,Alajuela
06/18/2020,9,0.0,0.0,9.0,Alajuela
06/19/2020,9,0.0,0.0,9.0,Alajuela
06/20/2020,9,0.0,0.0,9.0,Alajuela
06/21/2020,9,0.0,0.0,9.0,Alajuela
06/22/2020,9,0.0,0.0,9.0,Alajuela
06/23/2020,9,0.0,0.0,9.0,Alajuela
06/24/2020,9,0.0,0.0,9.0,Alajuela
06/25/2020,9,0.0,0.0,9.0,Alajuela
04/04/2020,8,0.0,0.0,9.0,Alajuela
04/06/2020,10,2.0,0.0,9.0,Alajuela
04/07/2020,11,1.0,0.0,9.0,Alajuela
04/08/2020,11,0.0,0.0,9.0,Alajuela
04/10/2020,11,0.0,0.0,9.0,Alajuela
04/13/2020,11,0.0,0.0,9.0,Alajuela
04/15/2020,11,0.0,0.0,9.0,Alajuela
04/17/2020,11,0.0,0.0,9.0,Alajuela
05/06/2020,11,0.0,0.0,9.0,Alajuela
05/07/2020,11,0.0,0.0,9.0,Alajuela
05/08/2020,11,0.0,0.0,9.0,Alajuela
05/09/2020,11,0.0,0.0,9.0,Alajuela
05/10/2020,11,0.0,0.0,9.0,Alajuela
05/11/2020,11,0.0,0.0,9.0,Alajuela
05/12/2020,11,0.0,0.0,9.0,Alajuela
05/13/2020,11,0.0,0.0,9.0,Alajuela
05/14/2020,11,0.0,0.0,9.0,Alajuela
05/15/2020,12,1.0,0.0,10.0,Alajuela
05/16/2020,12,0.0,0.0,10.0,Alajuela
05/17/2020,12,0.0,0.0,10.0,Alajuela
05/18/2020,12,0.0,0.0,10.0,Alajuela
05/19/2020,12,0.0,0.0,10.0,Alajuela
05/20/2020,12,0.0,0.0,10.0,Alajuela
05/21/2020,12,0.0,0.0,10.0,Alajuela
05/22/2020,12,0.0,0.0,10.0,Alajuela
05/23/2020,12,0.0,0.0,10.0,Alajuela
05/24/2020,12,0.0,0.0,11.0,Alajuela
05/25/2020,12,0.0,0.0,11.0,Alajuela
05/26/2020,12,0.0,0.0,11.0,Alajuela
